suggested_new_category_path,post_count
/cmc,1731
/press-release,14
insights,460
insights/institutional,2749
insights/liquidity,1856
insights/on-chain,1344
macro/crypto-macro,93
macro/fed,80
macro/global-liquidity,7
macro/regulation,703
narratives/altcoin-season,11
narratives/bitcoin-cycle,38
narratives/cross-market,5
narratives/ethereum-ecosystem,40
trends/ai-crypto,347
trends/defi,711
trends/memecoins,133
weekly-recap/top-stories,4
